company,title,role_category,source_site,work_summary,required_skills,preferred_skills,source_url,collected_at,data_status
와디즈,데이터 분석가,데이터분석·BI,원티드,"서비스 현황 파악 및 개선을 위한 데이터 분석; 데이터 시각화를 통한 지표 관리; 데이터 처리를 통해 필요 부서에 정보 전달; 데이터 기반 부서 간 소통 지원","관련 경력 2년 이상; 데이터 분석 방법론(LTV, AARRR, Cohort, Funnel 등) 이해; SQL 및 Python을 이용한 데이터 핸들링 능력; BI Tool(태블로, Redash, Kibana, Grafana 등) 활용 능력; 데이터 기반 인사이트 도출 역량","명시 안 됨",https://www.wanted.co.kr/wd/52879,2026-08-22,실제 공고
데이원컴퍼니(패스트캠퍼스),데이터 분석가,데이터분석·BI,원티드,"비즈니스 이슈를 해결하기 위한 데이터 분석 및 시각화; 데이터 표준(모델/메타/품질/성능) 정책 수립과 운영; BI 대시보드 구축; A/B 테스트 등 실험 설계 및 분석 지원","데이터 분석 경력 3년 이상; SQL, Python, R 등을 활용한 데이터 추출/분석 능력; Google Analytics, Amplitude 등 웹로그·사용자 분석 경험; 빅데이터 프레임워크와 데이터 파이프라인 이해","명시 안 됨",https://www.wanted.co.kr/wd/42454,2026-08-22,실제 공고
자비스앤빌런즈(삼쩜삼),데이터 분석가(BI Analyst),데이터분석·BI,원티드,"고객·서비스 트렌드 분석, 마케팅 인사이트 제공, 비즈니스 측정 지표 발굴; 주기적 비즈니스 리뷰 리포팅으로 의사결정 지원; BI 솔루션을 활용한 대시보드 제작 및 운영; BI 솔루션에서 활용 가능한 데이터 집계 및 설계","IT업계 데이터 분석 관련 팀 경력 3년 이상; 통계 지식 이해 및 정량적 분석 능력; Tableau·Google Data Studio·QuickSight·SpotFire·Superset 중 1개 이상 경험; SQL 능숙 및 RDBMS/빅데이터 환경 쿼리 경험","명시 안 됨",https://www.wanted.co.kr/wd/53378,2026-08-22,실제 공고
토스뱅크,Data Scientist(데이터 사이언티스트),데이터사이언스·ML,원티드,"사업적 과제 해결을 위한 데이터 기반 문제정의와 해결방안 도출; 데이터 탐색 및 머신러닝/딥러닝 알고리즘으로 신용평가·상품전략·고객특성 모형 개발; 계좌개설·수신·카드·사후관리 등 은행 프로세스 효율화 프로젝트 수행","데이터·머신러닝에 대한 수학적 이해와 통계적 지식; 머신러닝을 활용한 실제 비즈니스 문제 해결 경험; SQL, Python, R 등 통계/분석 프로그램 능숙; TensorFlow, PyTorch 등 프레임워크 활용 능력","데이터 기반 의사결정 및 개선 방안 제시 경험; 금융 서비스 데이터 분석·모델링 경험; Hadoop, Spark, Hive 등 빅데이터 플랫폼 사용 경험",https://www.wanted.co.kr/wd/75057,2026-08-22,실제 공고
힐링페이퍼(강남언니),데이터 사이언티스트,데이터사이언스·ML,원티드,"개인화 추천 서비스, 랭킹 시스템, 자연어처리, 이미지 개발; Python/R을 활용한 머신러닝/딥러닝 모델 개발 및 서비스 적용; 통계 기반 분석 로직 설계 및 시각화; 의료 데이터 기반 anomaly detection·fraud detection·recommendation 개발; 메디컬뷰티 업계 데이터로 신규 서비스 아이디어 도출","통계/데이터 관련 학위 또는 3년 이상 실무 경험; Python, R, SQL 등 분석·모델링 개발 언어 능숙; 통계, 머신러닝/딥러닝 이해 및 모형 설계·개발 경험; Scikit-learn, PyTorch 또는 Tensorflow 개발 경험","명시 안 됨",https://www.wanted.co.kr/wd/56257,2026-08-22,실제 공고
스마트마인드에이아이,데이터 사이언티스트,데이터사이언스·ML,원티드,"고객사·사내 데이터 심층 분석으로 비즈니스 문제 해결 인사이트 도출; LLM 기반 플랫폼 성능 향상을 위한 핵심 기능 개발; 지식 그래프를 활용한 의미론적 추론 기술 연구; 비정형 데이터를 GraphDB로 변환하는 파이프라인 개발; AI 신사업 발굴 및 사업화 기획","컴퓨터공학·데이터사이언스·통계학 등 관련 학사 이상; NLP/AI/데이터분석 분야 2년 이상 경험; PyTorch, Transformers를 활용한 LLM 훈련·Fine-tuning·RAG 경험; Python, SQL, Git 능력; 다양한 직군과 협업 가능한 커뮤니케이션 능력","명시 안 됨(자격요건에 통합)",https://www.wanted.co.kr/wd/305739,2026-08-22,실제 공고
업스테이지,Data Engineer,데이터엔지니어링,원티드,"LLM향 대용량 데이터 수집·저장·처리 시스템 설계 및 구축; 데이터 파이프라인 및 ETL 프로세스 개발 및 최적화; 데이터 품질 및 처리 성능 모니터링; 데이터 웨어하우스·데이터 레이크 아키텍처 설계; 분산 시스템 운영; 고객사 데이터 분석 및 파이프라인 운영; 평가 프로세스 확립 및 운영","CS 기초(자료구조·알고리즘·데이터베이스·운영체제·네트워크) 이해도; AI 문제 정의 및 해결 능력; 머신러닝 알고리즘 기초 이해; Python, C++ 등 프로그래밍 능력 및 Linux/Shell 활용; 협업 및 의사소통 능력","명시 안 됨",https://www.wanted.co.kr/wd/226034,2026-08-22,실제 공고
쿠팡,데이터 엔지니어,데이터엔지니어링,원티드,"전사 비즈니스 도메인별 데이터마트 설계 및 관리; 다양한 소스 시스템에서 데이터를 수집하는 시스템 구축; 저장소 최적화; 안정적이고 신뢰할 수 있는 데이터 파이프라인 지원","데이터베이스 시스템·데이터 웨어하우징 개념 및 SQL, NoSQL 지식; 데이터 마트 구축 경험; EMR, Spark, Hive 등 빅데이터 프레임워크로 대용량 데이터 처리·파이프라인 구축 경험; Java, Scala, Python 중 1개 이상 프로그래밍 언어 능숙; 커뮤니케이션과 문제 해결 능력","명시 안 됨",https://www.wanted.co.kr/wd/197558,2026-08-22,실제 공고
히어닷컴코리아,콘텐츠 마케팅 매니저,경영·마케팅,원티드,"보청기·청력 건강 관련 주제로 자사 채널(페이스북·블로그·인스타그램·유튜브 등) 콘텐츠 기획·제작·성과 분석; 구글·페이스북 등 광고 채널용 광고 콘텐츠 기획·제작 및 리드 전환율 최적화","신입~4년차; 블로그·페이스북·유튜브·틱톡 등 오가닉 콘텐츠 기획 및 제작 유경험자; 데이터 기반 온라인 광고 기획에 관심; 카피·글 직접 작성 가능; 최신 광고·동영상 트렌드에 관심","진취적 자세로 아이디어 수집·제안 가능자; 디자인 툴 사용에 열려 있는 분; 외국계 기업 성장 지향 및 영어 사용 가능자",https://www.wanted.co.kr/wd/314265,2026-08-22,실제 공고
엑스플라이어,B2B Business 영업 및 제휴,경영·영업,원티드,"머스타드TV 도입 제안(서비스영업); 시장 조사 및 경쟁사 리서치; 세일즈 Kit 개발 및 현장 적용; 계약 B/C 분석; 신규·기존 파트너 관리; 잠재 고객 개발","신입~경력 4년 이하; 대졸(학사) 이상; 해외여행 가능자","명시 안 됨",https://www.wanted.co.kr/wd/227274,2026-08-22,실제 공고
