card_id,분야,라벨,설명,키워드,출처_공고수,출처_회사
1,데이터분석·BI,서비스 현황 분석,서비스 지표 파악 및 개선점 도출을 위한 데이터 분석,현황분석;개선점도출;서비스지표,1,와디즈
2,데이터분석·BI,지표 시각화,핵심 지표를 그래프·차트로 시각화해 관리,시각화;지표관리;대시보드,1,와디즈
3,데이터분석·BI,데이터 정보 전달,가공한 데이터를 필요 부서에 정리해 전달,정보전달;부서협업;데이터공유,1,와디즈
4,데이터분석·BI,데이터 기반 소통 지원,데이터를 근거로 부서 간 원활한 소통을 지원,소통지원;부서협업;데이터근거,1,와디즈
5,데이터분석·BI,비즈니스 문제 해결,데이터 분석과 시각화로 비즈니스 이슈 해결,문제해결;비즈니스분석;시각화,1,데이원컴퍼니
6,데이터분석·BI,데이터 표준 관리,데이터 형식·품질 기준 수립 및 운영,데이터표준;품질관리;정책수립,1,데이원컴퍼니
7,데이터분석·BI,BI 대시보드 구축,비즈니스 인텔리전스 대시보드 제작 및 운영,BI;대시보드;리포팅,2,데이원컴퍼니;삼쩜삼
8,데이터분석·BI,실험 설계·분석,A/B 테스트 등 실험 설계 및 결과 분석,AB테스트;실험설계;가설검증,2,데이원컴퍼니;당근마켓(로컬비즈니스)
9,데이터분석·BI,트렌드 분석,고객·서비스 이용 트렌드 분석,트렌드분석;고객데이터;서비스분석,1,삼쩜삼
10,데이터분석·BI,마케팅 인사이트 제공,데이터 분석 결과로 마케팅 의사결정에 필요한 인사이트 제공,마케팅인사이트;데이터기반의사결정,1,삼쩜삼
11,데이터분석·BI,핵심 지표 발굴,비즈니스 성과를 측정할 새로운 핵심 지표(KPI) 발굴,KPI;지표발굴;성과측정,1,삼쩜삼
12,데이터분석·BI,비즈니스 리뷰 리포팅,정기적인 비즈니스 현황 리포트 작성으로 의사결정 지원,리포팅;비즈니스리뷰;의사결정지원,1,삼쩜삼
13,데이터분석·BI,BI 데이터 설계,BI 도구에서 활용할 데이터 집계 및 구조 설계,데이터집계;BI설계;데이터구조,1,삼쩜삼
14,데이터분석·BI,탐색적 분석 설계,탐색적 데이터 분석에 적합한 데이터 구조 설계,탐색적분석;데이터구조설계,1,당근마켓(로컬비즈니스)
15,데이터분석·BI,가설 수립,데이터 분석 인사이트를 바탕으로 개선 가설 수립,가설수립;인사이트도출,1,당근마켓(로컬비즈니스)
16,데이터분석·BI,성장 지표 시각화,소상공인·지역 비즈니스 성장 지표 설정 및 추적 시각화,성장지표;시각화;지역비즈니스,1,당근마켓(로컬비즈니스)
17,데이터분석·BI,데이터 마트 구축,데이터 적재·정리로 대시보드·알림 등 결과물 제공,데이터마트;대시보드;알림,1,컬리
18,데이터분석·BI,데이터 기반 문제 발굴,축적 데이터에서 비즈니스 문제 발굴 및 해결책 제안,문제발굴;해결책제안;데이터분석,1,컬리
19,데이터분석·BI,커머스·물류 분석,커머스와 물류 전반에 걸친 데이터 분석,커머스;물류;도메인분석,1,컬리
20,데이터사이언스·ML,문제 정의·해결,데이터 기반으로 비즈니스 문제 정의 및 해결 방안 도출,문제정의;해결방안;데이터기반,1,토스뱅크
21,데이터사이언스·ML,예측 모델 개발,머신러닝·딥러닝 기반 평가·전략용 예측 모델 개발,머신러닝;예측모델;딥러닝,1,토스뱅크
22,데이터사이언스·ML,프로세스 효율화,데이터 분석 기반 업무 프로세스 효율화 프로젝트 수행,프로세스효율화;데이터분석;업무개선,1,토스뱅크
23,데이터사이언스·ML,개인화 추천,사용자 맞춤형 콘텐츠 및 상품 추천,추천시스템;개인화;맞춤형,1,힐링페이퍼
24,데이터사이언스·ML,랭킹 시스템,검색 결과 및 데이터 노출 순서 최적화,랭킹;정렬알고리즘;검색최적화,1,힐링페이퍼
25,데이터사이언스·ML,NLP,텍스트·음성 데이터 분석 및 자연어 처리,NLP;자연어처리;텍스트분석,1,힐링페이퍼
26,데이터사이언스·ML,이미지 개발,영상·이미지 인식 및 생성 모델 개발,컴퓨터비전;이미지인식;생성모델,1,힐링페이퍼
27,데이터사이언스·ML,모델 서비스 적용,머신러닝 모델을 실제 서비스 환경에 적용·배포,모델배포;프로덕션적용;서비스화,2,힐링페이퍼;플라스크
28,데이터사이언스·ML,통계 기반 분석 설계,통계 이론에 기반한 분석 로직 설계 및 시각화,통계분석;로직설계;시각화,1,힐링페이퍼
29,데이터사이언스·ML,이상 탐지,이상 거래·이상 신호를 자동으로 탐지하는 모델 개발,이상탐지;리스크감지;패턴탐지,1,힐링페이퍼
30,데이터사이언스·ML,업계 데이터 기반 서비스 기획,업계 특화 데이터를 활용한 신규 서비스 아이디어 도출,서비스기획;업계데이터;아이디어도출,1,힐링페이퍼
31,데이터사이언스·ML,심층 인사이트 도출,데이터 심층 분석으로 비즈니스 문제 해결 인사이트 도출,심층분석;인사이트;문제해결,1,스마트마인드
32,데이터사이언스·ML,AI 모델 성능 개선,LLM 등 AI 모델의 성능을 높이는 핵심 기능 개발,LLM;모델성능개선;AI개발,1,스마트마인드
33,데이터사이언스·ML,지식 추론 연구,지식 그래프 기반 개념 간 관계 분석 및 추론 기술 연구,지식그래프;추론;의미분석,1,스마트마인드
34,데이터사이언스·ML,비정형 데이터 구조화,비정형 데이터를 구조화된 형태로 변환하는 파이프라인 개발,비정형데이터;데이터구조화;파이프라인,1,스마트마인드
35,데이터사이언스·ML,AI 신사업 기획,AI 기술 기반 신규 사업 아이디어 발굴 및 기획,신사업기획;AI사업화,1,스마트마인드
36,데이터사이언스·ML,데이터 기반 의사결정 정의,핵심 질문을 데이터 관점에서 정의하고 의사결정 방향 제시,의사결정지원;데이터정의;방향성제시,1,당근마켓(디시젼)
37,데이터사이언스·ML,임팩트 측정,의사결정·제품 변화의 실제 영향을 측정해 투명하게 공유,임팩트측정;효과분석;투명성,1,당근마켓(디시젼)
38,데이터사이언스·ML,편향 제거 실험,A/B 테스트를 통한 의사결정 과정의 편향 제거,AB테스트;인과추론;편향제거,1,당근마켓(디시젼)
39,데이터사이언스·ML,동작 인식 개발,이미지·영상 속 사람의 동작·자세 인식 기술 연구 개발,컴퓨터비전;동작인식;포즈추정,1,플라스크
40,데이터사이언스·ML,ML 프로토타이핑,머신러닝 기반 솔루션의 초기 프로토타입 개발,프로토타이핑;머신러닝;솔루션개발,1,플라스크
